a,b,c,d,e,f,g,h
0.31,0,0.079966,0.27042,0.50152,0.73466,0.89451,0.90095
0.32,0,0.079964,0.26986,0.49911,0.73002,0.8883,0.89467
0.33,0,0.079961,0.26927,0.49662,0.72522,0.88189,0.8882
0.34,0,0.079957,0.26864,0.49402,0.72026,0.87529,0.88153
0.35,0,0.079953,0.26797,0.49133,0.71515,0.86849,0.87467
0.36,0,0.079949,0.26727,0.48854,0.70987,0.86149,0.8676
0.37,0,0.079943,0.26652,0.48565,0.70444,0.8543,0.86033
0.38,0,0.079937,0.26573,0.48265,0.69886,0.8469,0.85286
0.39,0,0.07993,0.2649,0.47955,0.69311,0.83931,0.8452
0.4,0,0.079922,0.26402,0.47634,0.6872,0.83152,0.83733
0.41,0,0.079912,0.26309,0.47303,0.68112,0.82353,0.82927
0.42,0,0.079901,0.2621,0.4696,0.67489,0.81535,0.821
0.43,0,0.079888,0.26107,0.46607,0.66849,0.80696,0.81254
0.44,0,0.079872,0.25997,0.46241,0.66193,0.79838,0.80388
0.45,0,0.079854,0.25882,0.45864,0.6552,0.7896,0.79502
0.46,0,0.079833,0.25761,0.45475,0.6483,0.78063,0.78595
0.47,0,0.079808,0.25633,0.45075,0.64124,0.77145,0.77669
0.48,0,0.079779,0.25499,0.44661,0.63401,0.76208,0.76723
0.49,0,0.079745,0.25358,0.44235,0.62661,0.7525,0.75757
0.5,0,0.079705,0.25209,0.43797,0.61904,0.74273,0.74771
0.51,0,0.07966,0.25053,0.43345,0.6113,0.73276,0.73766
0.52,0,0.079607,0.2489,0.42881,0.60339,0.7226,0.7274
0.53,0,0.079546,0.24718,0.42402,0.5953,0.71223,0.71694
0.54,0,0.079476,0.24537,0.4191,0.58704,0.70167,0.70628
0.55,0,0.079395,0.24348,0.41405,0.57861,0.6909,0.69542
0.56,0,0.079303,0.24149,0.40885,0.56999,0.67994,0.68437
0.57,0,0.079197,0.23942,0.4035,0.5612,0.66878,0.67311
0.58,0,0.079077,0.23724,0.39801,0.55224,0.65742,0.66166
0.59,0,0.078939,0.23496,0.39237,0.54309,0.64586,0.65
0.6,0,0.078783,0.23257,0.38657,0.53376,0.63411,0.63815
0.61,0,0.078606,0.23008,0.38063,0.52425,0.62215,0.62609
0.62,0,0.078405,0.22747,0.37452,0.51456,0.60999,0.61384
0.63,0,0.078179,0.22474,0.36826,0.50469,0.59764,0.60138
0.64,0,0.077923,0.22189,0.36183,0.49463,0.58509,0.58873
0.65,0,0.077636,0.21892,0.35524,0.48438,0.57233,0.57587
